Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,81.089996,87.949997,80.040001,86.300003,2065800,86.300003
2017-01-03,74.610001,83.959999,74.50,81.339996,1789300,81.339996
2016-12-01,72.769997,83.080002,68.059998,74.010002,3004100,74.010002
2016-11-01,72.400002,78.580002,67.150002,72.610001,2846500,72.610001
2016-10-03,71.150002,73.400002,68.400002,72.279999,1465800,72.279999
2016-09-01,67.419998,72.800003,65.059998,72.330002,2176400,72.330002
2016-08-01,59.330002,69.209999,56.799999,67.400002,2046600,67.400002
2016-07-01,54.119999,60.25,51.889999,59.450001,1317500,59.450001
2016-06-01,57.970001,59.07,49.82,54.139999,1831800,54.139999
2016-05-02,60.00,61.419998,55.349998,58.27,2350700,58.27
2016-04-01,56.57,62.419998,55.07,59.82,1740600,59.82
2016-03-01,52.400002,59.34,52.119999,58.310001,1951600,58.310001
2016-02-01,46.650002,52.580002,41.599998,51.740002,3887300,51.740002
2016-01-04,60.009998,60.799999,45.040001,46.82,3297200,46.82
2015-12-01,63.580002,65.779999,59.48,60.93,1849700,60.93
2015-11-02,55.509998,63.919998,55.16,63.470001,3856000,63.470001
2015-10-01,43.68,55.82,42.060001,55.189999,3833700,55.189999
2015-09-01,45.720001,47.93,43.900002,44.139999,4139700,44.139999
2015-08-03,52.990002,55.41,46.259998,46.75,3533200,46.75
2015-07-01,50.59,53.77,49.50,50.580002,2505100,50.580002
2015-06-01,54.389999,55.330002,49.84,50.080002,2445500,50.080002
2015-05-01,57.110001,59.419998,54.139999,54.150002,2763000,54.150002
2015-04-01,57.68,63.209999,56.380001,56.830002,2322200,56.830002
2015-03-02,64.050003,64.720001,58.360001,58.639999,2401400,58.639999
