Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,86.650002,92.349998,86.440002,89.889999,1170200,89.889999
2017-01-03,78.330002,89.50,77.940002,87.540001,1844900,87.540001
2016-12-01,81.139999,83.00,76.809998,78.730003,1505600,78.730003
2016-11-01,78.900002,81.839996,74.849998,81.139999,1641500,81.139999
2016-10-03,73.089996,78.68,72.050003,78.599998,2249400,78.599998
2016-09-01,73.459999,75.330002,71.809998,73.349998,3075500,73.349998
2016-08-01,71.449997,76.989998,69.860001,73.330002,2485200,73.330002
2016-07-01,57.450001,73.32,56.09,72.980003,2683200,72.980003
2016-06-01,60.50,65.309998,55.119999,57.220001,2187400,57.220001
2016-05-02,56.189999,60.689999,54.439999,60.560001,2176300,60.560001
2016-04-01,51.290001,59.610001,49.759998,56.91,2579300,56.91
2016-03-01,49.59,53.049999,48.509998,52.310001,1652000,52.310001
2016-02-01,44.799999,51.459999,43.25,50.490002,2075600,50.490002
2016-01-04,55.810001,57.27,44.02,45.75,3097900,45.75
2015-12-01,61.470001,62.82,55.459999,56.57,1575100,56.57
2015-11-02,59.91,62.50,56.669998,61.41,2103000,61.41
2015-10-01,78.739998,82.349998,52.720001,60.150002,5484400,60.150002
2015-09-01,78.00,81.82,76.580002,78.790001,1378100,78.790001
2015-08-03,88.540001,93.43,76.040001,79.150002,2498800,79.150002
2015-07-01,86.440002,89.459999,80.510002,89.129997,1308900,89.129997
2015-06-01,87.32,91.93,85.580002,85.739998,1133000,85.739998
2015-05-01,88.150002,89.660004,85.639999,87.32,1163100,87.32
2015-04-01,81.900002,92.199997,79.93,88.099998,1895100,88.099998
2015-03-02,84.419998,86.910004,80.339996,82.010002,1341500,82.010002
