Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,177.830002,182.940002,154.699997,174.779999,172.585342,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,163.046631,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,172.637161,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,155.868759,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,147.158310,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,135.373856,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,160.909927,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,155.672028,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,137.029358,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,152.041107,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,146.776108,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,129.043121,1675731200
2023-01-01,130.279999,147.229996,124.169998,144.289993,143.305084,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,146.403824,1307198900
2023-03-01,146.830002,165.000000,143.899994,164.899994,164.024475,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,168.779114,969709700
2023-05-01,169.279999,179.350006,164.309998,177.250000,176.308914,1275155500
2023-06-01,177.699997,194.479996,176.929993,193.970001,193.207016,1297101100
2023-07-01,193.779999,198.229996,186.600006,196.449997,195.677261,996066400
2023-08-01,196.240005,196.729996,171.960007,187.869995,187.130997,1322439400
2023-09-01,189.490005,189.979996,167.619995,171.210007,170.766830,1337586600
2023-10-01,171.220001,182.339996,165.669998,170.770004,170.327972,1172719600
2023-11-01,171.000000,192.929993,170.119995,189.949997,189.458313,1099586100
2023-12-01,190.330002,199.619995,187.449997,192.529999,192.284637,1062774800
2024-01-01,187.149994,196.380005,180.169998,184.399994,184.164993,1187219300
2024-02-01,183.990005,191.050003,179.250000,180.750000,180.519653,1161627000
2024-03-01,179.550003,180.529999,168.490005,173.229996,173.229996,586472000
2024-03-12,173.149994,174.029999,171.020004,173.229996,173.229996,58529744
