Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,39.959999,43.07,39.02,42.00,6983800,42.00
2017-01-03,40.290001,42.50,39.419998,39.779999,7824600,39.779999
2016-12-01,39.560001,40.740002,38.060001,39.470001,5673500,39.470001
2016-11-01,41.68,42.294998,38.450001,39.279999,9082700,39.279999
2016-10-03,40.869999,44.52,38.75,41.66,10097200,41.66
2016-09-01,37.27,41.299999,36.299999,40.970001,9600800,40.970001
2016-08-01,37.43,38.650002,36.279999,37.150002,6369100,37.150002
2016-07-01,36.599998,40.450001,35.715,37.240002,10837600,37.240002
2016-06-01,37.810001,38.685001,34.00,36.509998,8933400,36.509998
2016-05-02,39.07,40.313999,37.310001,37.790001,8988800,37.790001
2016-04-01,38.509998,41.490002,37.34,39.18,7817400,39.18
2016-03-01,38.52,41.75,37.00,38.599998,8972700,38.599998
2016-02-01,35.650002,38.93,31.639999,38.139999,13627100,38.139999
2016-01-04,35.130001,36.259998,30.52,36.139999,11924000,36.139999
2015-12-01,35.41,37.68,33.849998,36.200001,7332800,36.200001
2015-11-02,35.580002,38.52,34.50,35.259998,10361700,35.259998
2015-10-01,30.82,36.650002,30.75,36.009998,9573400,36.009998
2015-09-01,34.150002,35.459999,30.299999,31.040001,10135500,31.040001
2015-08-03,39.25,39.91,30.00,35.00,12330400,35.00
2015-07-06,38.00,42.549999,33.98,38.700001,17457800,38.700001
