Date,Open,High,Low,Close,Volume,Adj Close
2017-02-01,90.93,94.449997,90.190002,93.18,748000,93.18
2017-01-03,86.25,91.800003,85.489998,91.510002,938200,91.510002
2016-12-01,82.889999,87.230003,81.300003,86.43,665400,86.43
2016-11-01,87.709999,87.760002,80.93,83.220001,956900,83.220001
2016-10-03,90.919998,91.449997,86.07,87.839996,899100,87.839996
2016-09-01,88.279999,92.760002,86.699997,91.410004,870100,91.410004
2016-08-01,87.169998,88.989998,85.279999,87.970001,744700,87.970001
2016-07-01,75.43,87.779999,73.330002,87.389999,1374800,87.389999
2016-06-01,80.970001,82.190002,71.389999,75.019997,1238300,75.019997
2016-05-02,79.68,81.620003,76.550003,81.07,1004500,81.07
2016-04-01,78.720001,81.190002,76.629997,78.620003,1146100,77.304817
2016-03-01,76.790001,81.239998,75.790001,80.419998,783900,79.074699
2016-02-01,78.669998,79.970001,72.660004,75.339996,1412600,74.079681
2016-01-04,76.739998,80.989998,75.889999,79.800003,1738900,78.46508
2015-12-01,79.43,81.209999,76.580002,79.099998,830300,77.776779
2015-11-02,79.669998,80.690002,77.419998,79.00,1053200,77.678459
2015-10-01,64.540001,79.32,63.43,78.709999,1177700,77.393303
2015-09-01,66.129997,68.00,62.57,64.790001,1404200,63.706169
2015-08-03,72.449997,73.279999,63.060001,67.260002,1442500,66.13485
2015-07-01,70.800003,75.080002,67.019997,71.669998,1508600,70.471077
2015-06-01,74.080002,76.110001,69.650002,70.230003,867000,69.055168
2015-05-01,75.900002,77.360001,73.029999,73.900002,970800,72.663773
2015-04-01,73.040001,77.110001,71.25,75.690002,980600,73.273041
2015-03-02,70.190002,74.160004,66.830002,72.169998,1253600,69.865433
