Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,264.000000,266.739990,172.610001,206.119995,206.119995,60847000
2022-02-01,208.229996,233.600006,147.000000,174.800003,174.800003,101954200
2022-03-01,175.009995,176.955002,123.050003,164.809998,164.809998,80072900
2022-04-01,166.039993,176.399994,109.679001,111.820000,111.820000,59232600
2022-05-01,111.500000,123.000000,87.669998,105.169998,105.169998,95685400
2022-06-01,107.139999,110.980003,77.139999,83.809998,83.809998,78747700
2022-07-01,85.230003,95.940002,78.419998,84.800003,84.800003,61754300
2022-08-01,84.589996,98.669998,69.430000,69.580002,69.580002,115809100
2022-09-01,68.010002,81.249001,64.292000,69.139999,69.139999,88512000
2022-10-01,69.510002,78.430000,62.099998,74.370003,74.370003,69500000
2022-11-01,77.029999,79.120003,41.000000,49.020000,49.020000,160856500
2022-12-01,48.669998,53.639999,42.779999,48.959999,48.959999,77625200
2023-01-01,50.000000,61.492001,48.049999,59.840000,59.840000,64369400
2023-02-01,60.299999,79.699997,58.980000,67.209999,67.209999,122103000
2023-03-01,66.870003,76.209999,60.194000,66.629997,66.629997,90234500
2023-04-01,65.349998,66.000000,51.389999,52.610001,52.610001,62465100
2023-05-01,52.349998,69.809998,45.020000,69.620003,69.620003,161201300
2023-06-01,67.500000,69.290001,62.900002,63.619999,63.619999,68726800
2023-07-01,63.959999,71.239998,59.870998,66.029999,66.029999,93369100
2023-08-01,65.620003,66.202003,56.529999,63.709999,63.709999,84504400
2023-09-01,64.709999,67.620003,56.020000,58.529999,58.529999,43020700
2023-10-01,58.330002,58.830002,49.910000,51.259998,51.259998,39430100
2023-11-01,50.990002,66.940002,49.855999,64.680000,64.680000,80447900
2023-12-01,64.500000,78.160004,64.099998,75.870003,75.870003,50568800
2024-01-01,74.360001,76.029999,67.739998,70.330002,70.330002,49473300
2024-02-01,71.775002,72.839996,55.570000,59.590000,59.590000,103538800
2024-03-01,59.310001,63.090000,55.970001,62.209999,62.209999,29407500
2024-03-12,62.590000,62.849998,61.750000,62.209999,62.209999,2434959
